,Position,Artist,Song,Release Date,Biggest Platform,Streams,Followers,Subscribers,Views,Video Count,Authentic engagement,Engagement avg
0,1,Post Malone ,Sunflower  SpiderMan: Into the SpiderVerse,,,883369738.0,,,,,,
1,2,Juice WRLD ,Lucid Dreams,,,864832399.0,,,,,,
2,3,Lil Uzi Vert ,XO TOUR Llif3,,,781153024.0,,,,,,
3,4,J. Cole ,No Role Modelz,,,734857487.0,,,,,,
4,5,Post Malone ,rockstar,,,718865961.0,,,,,,
5,6,Travis Scott ,goosebumps,,,672972704.0,,,,,,
6,7,The Weeknd ,Blinding Lights,,,644287953.0,,,,,,
7,8,XXXTENTACION ,Jocelyn Flores,,,624457164.0,,,,,,
8,9,XXXTENTACION ,SAD!,,,619879245.0,,,,,,
9,10,Juice WRLD ,All Girls Are The Same,,,613872384.0,,,,,,
10,11,Kendrick Lamar ,HUMBLE.,,,606305588.0,,,,,,
11,12,Post Malone ,Circles,,,598521764.0,,,,,,
12,13,Travis Scott ,SICKO MODE,,,586638599.0,,,,,,
13,14,Lil Baby ,Drip Too Hard (Lil Baby & Gunna),,,583443174.0,,,,,,
14,15,Post Malone ,Congratulations,,,546036924.0,,,,,,
15,16,Post Malone ,I Fall Apart,,,543144261.0,,,,,,
16,17,Glass Animals ,Heat Waves,,,540754791.0,,,,,,
17,18,Drake ,God's Plan,,,534994242.0,,,,,,
18,19,Roddy Ricch ,The Box,,,504210201.0,,,,,,
19,20,J. Cole ,MIDDLE CHILD,,,481985952.0,,,,,,
20,21,XXXTENTACION ,Fuck Love,,,473417295.0,,,,,,
21,22,Post Malone ,Better Now,,,463551468.0,,,,,,
22,23,Drake ,One Dance,,,454267392.0,,,,,,
23,24,Olivia Rodrigo ,good 4 u,,,454100610.0,,,,,,
24,25,Juice WRLD ,Robbery,,,443773199.0,,,,,,
25,26,Billie Eilish ,lovely,,,437911914.0,,,,,,
26,27,Joji ,SLOW DANCING IN THE DARK,,,437333177.0,,,,,,
27,28,XXXTENTACION ,Moonlight,,,431568186.0,,,,,,
28,29,Offset ,Ric Flair Drip (& Metro Boomin),,,427614856.0,,,,,,
29,30,The Kid LAROI ,Stay,,,426712325.0,,,,,,
30,31,Lewis Capaldi ,Someone You Loved,,,410725370.0,,,,,,
31,32,Harry Styles ,Watermelon Sugar,,,409073262.0,,,,,,
32,33,Post Malone ,Wow.,,,405812776.0,,,,,,
33,34,Khalid ,Location,,,403645089.0,,,,,,
34,35,The Neighbourhood ,Sweater Weather,,,400804036.0,,,,,,
35,36,Lil Baby ,Yes Indeed,,,400193604.0,,,,,,
36,37,The Chainsmokers ,Closer,,,397735618.0,,,,,,
37,38,Post Malone ,Psycho,,,396525691.0,,,,,,
38,39,The Weeknd ,The Hills,,,392023505.0,,,,,,
39,40,Dua Lipa ,Levitating,,,387860108.0,,,,,,
40,41,Billie Eilish ,bad guy,,,385813103.0,,,,,,
41,42,Morgan Wallen ,Whiskey Glasses,,,385368118.0,,,,,,
42,43,Olivia Rodrigo ,drivers license,,,381085710.0,,,,,,
43,44,Doja Cat ,Kiss Me More,,,376965422.0,,,,,,
44,45,DaBaby ,ROCKSTAR,,,373388283.0,,,,,,
45,46,Lil Nas X ,INDUSTRY BABY,,,373383279.0,,,,,,
46,47,The Weeknd ,Starboy,,,368997138.0,,,,,,
47,48,Childish Gambino ,Redbone,,,363834232.0,,,,,,
48,49,Lil Mosey ,Blueberry Faygo,,,355016723.0,,,,,,
49,50,Meek Mill ,Going Bad,,,349994217.0,,,,,,
50,51,Khalid ,Young Dumb & Broke,,,349563888.0,,,,,,
51,52,Harry Styles ,As It Was,,,348668080.0,,,,,,
52,53,Ed Sheeran ,Shape of You,,,348283656.0,,,,,,
53,54,Ariana Grande ,7 rings,,,332694161.0,,,,,,
54,55,Billie Eilish ,when the party's over,,,331192577.0,,,,,,
55,56,Kendrick Lamar ,LOVE. FEAT. ZACARI.,,,329243971.0,,,,,,
56,57,Cardi B ,I Like It,,,329059657.0,,,,,,
57,58,Lizzo ,Truth Hurts,,,321459791.0,,,,,,
58,59,Halsey ,Without Me,,,320826979.0,,,,,,
59,60,Logic ,18002738255,,,320245347.0,,,,,,
60,61,Bebe Rexha ,Meant to Be,,,318478528.0,,,,,,
61,62,Ariana Grande ,"thank u, next",,,317987550.0,,,,,,
62,63,BlocBoy JB ,Look Alive,,,316629241.0,,,,,,
63,64,Marshmello ,Happier,,,316018345.0,,,,,,
64,65,James Arthur ,Say You Won't Let Go,,,315132103.0,,,,,,
65,66,Arizona Zervas ,ROXANNE,,,314843202.0,,,,,,
66,67,24kGoldn ,Mood,,,314504480.0,,,,,,
67,68,Drake ,Nice For What,,,313324663.0,,,,,,
68,69,blackbear ,hot girl bummer,,,312411378.0,,,,,,
69,70,Mariah Carey ,All I Want for Christmas Is You,,,312323662.0,,,,,,
70,71,benny blanco ,Eastside,,,308890413.0,,,,,,
71,72,Juice WRLD ,Bandit,,,307048160.0,,,,,,
72,73,Future ,Life Is Good,,,305783118.0,,,,,,
73,74,YNW Melly ,Murder On My Mind,,,305306060.0,,,,,,
74,75,Olivia Rodrigo ,deja vu,,,304638969.0,,,,,,
